strategy,model,horizon,seq_length,rmse,mae,r2,n_train,n_test,category
direct,Naive,1,4,0.1693868036126883,0.07932303692496365,0.8329880650147785,8638,2443,Baseline
direct,MovingAvg,1,4,0.18558238743816052,0.1085386888840905,0.7995242360996087,8638,2443,Baseline
direct,RF_default,1,4,0.17341334150680798,0.09113939922935867,0.8249535225609617,8638,2443,ML
direct,RF_tuned,1,4,0.17114235235377964,0.08861305152791524,0.8295082548224894,8638,2443,ML
direct,XGB_default,1,4,0.18770048956772675,0.09660129705350867,0.7949219530227831,8638,2443,ML
direct,XGB_tuned,1,4,0.17877971199888526,0.09018293350352252,0.8139520758131394,8638,2443,ML
direct,LSTM_small,1,4,0.15886642598069264,0.08442699140404869,0.8530895757897838,8638,2443,DL
direct,LSTM_medium,1,4,0.17055968975077282,0.1032922659995998,0.8306671738173942,8638,2443,DL
direct,LSTM_large,1,4,0.1662405294423454,0.0915466082508154,0.83913476829625,8638,2443,DL
direct,GRU_small,1,4,0.1621220170118493,0.08950147485908432,0.8470067188629921,8638,2443,DL
direct,GRU_medium,1,4,0.17068468164227965,0.10753996819786002,0.8304188972689684,8638,2443,DL
direct,Naive,1,6,0.1693868036126883,0.07932303692496365,0.8329880650147785,8412,2443,Baseline
direct,MovingAvg,1,6,0.19246551116399294,0.11703067263775058,0.7843774404354333,8412,2443,Baseline
direct,RF_default,1,6,0.17378077005506673,0.09143494179125804,0.8242109590407871,8412,2443,ML
direct,RF_tuned,1,6,0.17264130750811707,0.09020222300351056,0.8265086625046456,8412,2443,ML
direct,XGB_default,1,6,0.18597300170962788,0.09681041258012779,0.7986794241784715,8412,2443,ML
direct,XGB_tuned,1,6,0.17746619298762903,0.09126690036528355,0.8166758719898629,8412,2443,ML
direct,LSTM_small,1,6,0.1664170203737286,0.09297128478135577,0.8387930185966256,8412,2443,DL
direct,LSTM_medium,1,6,0.16080671029511506,0.08929886100593104,0.849479137912048,8412,2443,DL
direct,LSTM_large,1,6,0.17193727326094027,0.10284332782859645,0.8279207786730048,8412,2443,DL
direct,GRU_small,1,6,0.1573599855563906,0.0785123910449566,0.8558625029596063,8412,2443,DL
direct,GRU_medium,1,6,0.1616522586137197,0.08297208229070208,0.8478920490152242,8412,2443,DL
direct,Naive,1,12,0.1693868036126883,0.07932303692496365,0.8329880650147785,7734,2443,Baseline
direct,MovingAvg,1,12,0.20418207464175397,0.1384523996586831,0.7573258111517595,7734,2443,Baseline
